model,MAE,MSE,RMSE,R2
xgboost,0.00269160216725413,5.67100142911165e-05,0.007530605174294859,0.6314550901581782
lstm,0.005052121885644521,0.00010380248740644317,0.010188350573397205,0.325412295504268
persistence,0.004350827172615198,0.0001486171848305527,0.012190864810609324,0.03417222391881258
arima,0.006894036485455565,0.00019452737884313113,0.01394730722552318,-0.26418721972951564
