ts_mark,util_load,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,split_tag
2019-05-01 03:00:00,0.17916488647460938,0.043601036071777344,2.9123106002807617,0.7839012145996094,0.007968902587890625,0.847203254699707,0.2908515930175781,train
2019-05-01 03:30:00,0.012084007263183594,0.17916488647460938,0.043601036071777344,2.9123106002807617,0.7839012145996094,0.007968902587890625,0.847203254699707,train
2019-05-01 04:00:00,0.049835205078125,0.012084007263183594,0.17916488647460938,0.043601036071777344,2.9123106002807617,0.7839012145996094,0.007968902587890625,train
2019-05-01 04:30:00,3.3838253021240234,0.049835205078125,0.012084007263183594,0.17916488647460938,0.043601036071777344,2.9123106002807617,0.7839012145996094,train
2019-05-01 05:00:00,0.20633220672607422,3.3838253021240234,0.049835205078125,0.012084007263183594,0.17916488647460938,0.043601036071777344,2.9123106002807617,train
2019-05-01 05:30:00,1.7661113739013672,0.20633220672607422,3.3838253021240234,0.049835205078125,0.012084007263183594,0.17916488647460938,0.043601036071777344,train
2019-05-01 06:00:00,5.784341812133789,1.7661113739013672,0.20633220672607422,3.3838253021240234,0.049835205078125,0.012084007263183594,0.17916488647460938,train
2019-05-01 06:30:00,0.4189720153808594,5.784341812133789,1.7661113739013672,0.20633220672607422,3.3838253021240234,0.049835205078125,0.012084007263183594,train
2019-05-01 07:00:00,25.21112060546875,0.4189720153808594,5.784341812133789,1.7661113739013672,0.20633220672607422,3.3838253021240234,0.049835205078125,train
2019-05-01 07:30:00,0.0011301040649414062,25.21112060546875,0.4189720153808594,5.784341812133789,1.7661113739013672,0.20633220672607422,3.3838253021240234,train
2019-05-01 08:00:00,2.758061408996582,0.0011301040649414062,25.21112060546875,0.4189720153808594,5.784341812133789,1.7661113739013672,0.20633220672607422,train
2019-05-01 08:30:00,0.0,2.758061408996582,0.0011301040649414062,25.21112060546875,0.4189720153808594,5.784341812133789,1.7661113739013672,train
2019-05-01 09:00:00,1.1844549179077148,0.0,2.758061408996582,0.0011301040649414062,25.21112060546875,0.4189720153808594,5.784341812133789,train
2019-05-01 09:30:00,0.448394775390625,1.1844549179077148,0.0,2.758061408996582,0.0011301040649414062,25.21112060546875,0.4189720153808594,train
2019-05-01 10:00:00,31.921585083007812,0.448394775390625,1.1844549179077148,0.0,2.758061408996582,0.0011301040649414062,25.21112060546875,train
2019-05-01 10:30:00,1.486968994140625,31.921585083007812,0.448394775390625,1.1844549179077148,0.0,2.758061408996582,0.0011301040649414062,train
2019-05-01 11:00:00,0.642552375793457,1.486968994140625,31.921585083007812,0.448394775390625,1.1844549179077148,0.0,2.758061408996582,train
2019-05-01 11:30:00,3.318531036376953,0.642552375793457,1.486968994140625,31.921585083007812,0.448394775390625,1.1844549179077148,0.0,train
2019-05-01 12:00:00,0.07839775085449219,3.318531036376953,0.642552375793457,1.486968994140625,31.921585083007812,0.448394775390625,1.1844549179077148,train
2019-05-01 12:30:00,0.6737852096557617,0.07839775085449219,3.318531036376953,0.642552375793457,1.486968994140625,31.921585083007812,0.448394775390625,train
2019-05-01 13:00:00,0.18805694580078125,0.6737852096557617,0.07839775085449219,3.318531036376953,0.642552375793457,1.486968994140625,31.921585083007812,train
2019-05-01 13:30:00,0.0024099349975585938,0.18805694580078125,0.6737852096557617,0.07839775085449219,3.318531036376953,0.642552375793457,1.486968994140625,train
2019-05-01 14:00:00,0.47901439666748047,0.0024099349975585938,0.18805694580078125,0.6737852096557617,0.07839775085449219,3.318531036376953,0.642552375793457,train
2019-05-01 14:30:00,0.03493976593017578,0.47901439666748047,0.0024099349975585938,0.18805694580078125,0.6737852096557617,0.07839775085449219,3.318531036376953,train
2019-05-01 15:00:00,1.4272212982177734,0.03493976593017578,0.47901439666748047,0.0024099349975585938,0.18805694580078125,0.6737852096557617,0.07839775085449219,train
2019-05-01 15:30:00,0.40081024169921875,1.4272212982177734,0.03493976593017578,0.47901439666748047,0.0024099349975585938,0.18805694580078125,0.6737852096557617,train
2019-05-01 16:00:00,0.08752632141113281,0.40081024169921875,1.4272212982177734,0.03493976593017578,0.47901439666748047,0.0024099349975585938,0.18805694580078125,train
2019-05-01 16:30:00,0.011319160461425781,0.08752632141113281,0.40081024169921875,1.4272212982177734,0.03493976593017578,0.47901439666748047,0.0024099349975585938,train
2019-05-01 17:00:00,0.13394927978515625,0.011319160461425781,0.08752632141113281,0.40081024169921875,1.4272212982177734,0.03493976593017578,0.47901439666748047,train
2019-05-01 17:30:00,0.07140731811523438,0.13394927978515625,0.011319160461425781,0.08752632141113281,0.40081024169921875,1.4272212982177734,0.03493976593017578,train
2019-05-01 18:00:00,0.08632850646972656,0.07140731811523438,0.13394927978515625,0.011319160461425781,0.08752632141113281,0.40081024169921875,1.4272212982177734,train
2019-05-01 18:30:00,0.4496955871582031,0.08632850646972656,0.07140731811523438,0.13394927978515625,0.011319160461425781,0.08752632141113281,0.40081024169921875,train
2019-05-01 19:00:00,0.15863800048828125,0.4496955871582031,0.08632850646972656,0.07140731811523438,0.13394927978515625,0.011319160461425781,0.08752632141113281,train
