timestamp,cpu_utilization
2019-05-01 00:00:00,0.036865234375
2019-05-01 00:05:00,0.00041441483931107956
2019-05-01 00:10:00,0.001262664794921875
2019-05-01 00:15:00,0.0024195823116578918
2019-05-01 00:20:00,0.013458251953125
2019-05-01 00:25:00,0.00677490234375
2019-05-01 00:30:00,9.1552734375e-05
2019-05-01 00:35:00,0.010103995339912282
2019-05-01 00:40:00,0.020116437945449563
2019-05-01 00:45:00,0.030128880550986843
2019-05-01 00:50:00,0.015100679899516859
2019-05-01 00:55:00,7.2479248046875e-05
2019-05-01 01:00:00,0.00010824203491210938
2019-05-01 01:05:00,0.00014400482177734375
2019-05-01 01:10:00,0.00017976760864257812
2019-05-01 01:15:00,0.0002155303955078125
2019-05-01 01:20:00,0.001075305938720703
2019-05-01 01:25:00,0.0019350814819335937
2019-05-01 01:30:00,0.0027948570251464843
2019-05-01 01:35:00,0.003654632568359375
2019-05-01 01:40:00,0.0015689286169727234
2019-05-01 01:45:00,0.0016155242919921875
2019-05-01 01:50:00,0.006354331970214844
2019-05-01 01:55:00,0.0110931396484375
2019-05-01 02:00:00,0.02349853515625
2019-05-01 02:05:00,0.00684356689453125
2019-05-01 02:10:00,0.00024366378784179688
2019-05-01 02:15:00,0.001264333724975586
2019-05-01 02:20:00,0.002285003662109375
2019-05-01 02:25:00,0.0001049041748046875
2019-05-01 02:30:00,0.0179290771484375
2019-05-01 02:35:00,0.00244903564453125
2019-05-01 02:40:00,0.00383758544921875
2019-05-01 02:45:00,0.00012493133544921875
2019-05-01 02:50:00,0.0003509521484375
2019-05-01 02:55:00,0.0013565063476562499
2019-05-01 03:00:00,0.0023620605468749997
2019-05-01 03:05:00,0.00336761474609375
2019-05-01 03:10:00,0.0043731689453124995
2019-05-01 03:15:00,0.00537872314453125
2019-05-01 03:20:00,0.000461578369140625
2019-05-01 03:25:00,0.0002613067626953125
2019-05-01 03:30:00,6.103515625e-05
2019-05-01 03:35:00,0.00015616416931152344
2019-05-01 03:40:00,0.0002512931823730469
2019-05-01 03:45:00,0.0003464221954345703
2019-05-01 03:50:00,0.00044155120849609375
2019-05-01 03:55:00,0.011023998260498047
2019-05-01 04:00:00,0.0216064453125
2019-05-01 04:05:00,0.0008252461751302084
2019-05-01 04:10:00,0.0006720225016276042
2019-05-01 04:15:00,0.000518798828125
2019-05-01 04:20:00,0.0017108917236328125
2019-05-01 04:25:00,0.0003814697265625
2019-05-01 04:30:00,0.00203704833984375
2019-05-01 04:35:00,0.003692626953125
2019-05-01 04:40:00,0.0084686279296875
2019-05-01 04:45:00,0.008543014526367188
2019-05-01 04:50:00,0.0018749237060546875
2019-05-01 04:55:00,0.00228118896484375
2019-05-01 05:00:00,0.002485263915289016
2019-05-01 05:05:00,0.002689338865734282
2019-05-01 05:10:00,0.002893413816179548
2019-05-01 05:15:00,0.0020301171711512977
2019-05-01 05:20:00,0.0011668205261230469
2019-05-01 05:25:00,0.00031566619873046875
2019-05-01 05:30:00,0.002685546875
2019-05-01 05:35:00,0.029835802443484043
2019-05-01 05:40:00,0.015061906043519365
2019-05-01 05:45:00,0.0002880096435546875
2019-05-01 05:50:00,0.00444793701171875
2019-05-01 05:55:00,0.017908433827843687
2019-05-01 06:00:00,0.031368930643968625
2019-05-01 06:05:00,0.023651969501032453
2019-05-01 06:10:00,0.015935008358096282
2019-05-01 06:15:00,0.008218047215160115
2019-05-01 06:20:00,0.0005010860722239424
2019-05-01 06:25:00,0.009229765997992622
2019-05-01 06:30:00,0.00030040740966796875
2019-05-01 06:35:00,0.0004107157389322917
2019-05-01 06:40:00,0.0005210240681966146
2019-05-01 06:45:00,0.0006313323974609375
2019-05-01 06:50:00,0.014521598815917969
2019-05-01 06:55:00,0.028411865234375
2019-05-01 07:00:00,0.0006281534830729166
2019-05-01 07:05:00,0.0006117600461711054
2019-05-01 07:10:00,0.0043911864792091256
